stage,date,home,away,score_85min,score_90min,yakir_guess,final_after_extra_time,penalties,result_changed_85_to_90,home_goal_minutes,away_goal_minutes
Group L,Sat June 27,Panama,England,0-2,0-2,0-2,,,,,62 67
Group L,Sat June 27,Croatia,Ghana,2-1,2-1,1-1,,,,31 83,73
Round of 32,Sun Jun 28,South Africa,Canada,0-0,0-1,1-2,,,yes,,90+2
Round of 32,Mon Jun 29,Germany,Paraguay,1-1,1-1,3-1,1-1,3-4,,54,42
Round of 32,Mon Jun 29,Netherlands,Morocco,1-0,1-1,2-2,1-1,2-3,yes,72,90+1
Round of 32,Mon Jun 29,Brazil,Japan,1-1,2-1,1-2,,,yes,56 90+5,29
Round of 32,Tue Jun 30,France,Sweden,3-0,3-0,2-0,,,,45 53 74,
Round of 32,Tue Jun 30,Ivory Coast,Norway,1-1,1-2,1-3,,,yes,74,39 86
Round of 32,Tue Jun 30,Mexico,Ecuador,2-0,2-0,0-1,,,,31 45+1,
Round of 32,Wed Jul 1,England,DR Congo,1-1,2-1,1-1,,,yes,75 86,7
Round of 32,Wed Jul 1,USA,Bosnia & Herzegovina,2-0,2-0,0-0,,,,45 82,
Round of 32,Wed Jul 1,Belgium,Senegal,0-2,2-2,1-2,3-2,,yes,86 89 120+5,25 51
Round of 32,Thu Jul 2,Portugal,Croatia,1-1,2-1,2-2,,,yes,68 90+4,53
Round of 32,Thu Jul 2,Spain,Austria,2-0,3-0,2-1,,,,36 66 89,
Round of 32,Thu Jul 2,Switzerland,Algeria,2-0,2-0,2-0,,,,10 46,
